sector,num_trades,avg_return,total_return,avg_hold_days,win_rate
Aerospace and defense,13,0.9196414758311295,11.955339185804684,22.615384615384617,53.84615384615385
Biopharmaceutical,3,0.5091229316972837,1.527368795091851,12.666666666666666,33.33333333333333
Broadcasting and entertainment,3,2.5841938169975514,7.752581450992654,18.0,66.66666666666666
Clothing industry,8,8.079007151910167,64.63205721528134,12.0,100.0
Communication Services,98,3.572748445569113,350.1293476657731,19.571428571428573,54.08163265306123
Construction and mining,3,-2.193099784944811,-6.579299354834433,4.666666666666667,33.33333333333333
Consumer Discretionary,412,2.3051934792260145,949.7397134411179,17.864077669902912,50.48543689320388
Consumer Staples,113,3.409379526248418,385.25988646607124,31.035398230088497,50.442477876106196
Energy,244,8.548223897462634,2085.766630980883,22.40573770491803,63.114754098360656
Financial services,2,2.5216257471983723,5.043251494396745,18.5,100.0
Financials,205,2.345581845301109,480.84427828672733,18.4390243902439,46.34146341463415
Health Care,389,0.8858347790738775,344.5897290597384,13.47043701799486,41.38817480719794
Home Improvement,1,23.45979611581334,23.45979611581334,39.0,100.0
Industrials,411,1.2478564649001436,512.869007073959,14.391727493917275,45.25547445255474
Information Technology,342,1.6279699233302494,556.7657137789453,15.871345029239766,45.90643274853801
Information technology,52,0.8707182325290824,45.27734809151229,17.442307692307693,44.230769230769226
Insurance,1,-2.9367312748950285,-2.9367312748950285,23.0,0.0
Managed health care,8,0.41488426604169304,3.3190741283335443,14.25,50.0
Materials,151,4.127433777578761,623.242500414393,26.94701986754967,52.980132450331126
Real Estate,91,3.199229408499761,291.12987617347824,25.24175824175824,56.043956043956044
Retailing,7,0.902573472024782,6.318014304173474,14.428571428571429,57.14285714285714
Specialty chemicals,2,-1.1083564583441992,-2.2167129166883983,15.0,0.0
Technology,680,0.8690690925901551,590.9669829613055,10.972058823529412,44.11764705882353
Telecommunications,10,-0.5067212051039153,-5.067212051039153,13.8,40.0
Utilities,87,3.2569852792703857,283.35771929652356,20.310344827586206,51.724137931034484
