sector,num_trades,total_return,total_return_pct,win_rate,avg_return_pct
Insurance,1,860.9423578491242,17.218847156982484,100.0,7.272361074581471
Conglomerate,1,809.0665289154058,16.181330578308113,100.0,7.978218548099933
Clothing industry,3,2049.753018356326,13.665020122375504,66.66666666666666,7.693662036306016
Managed health care,3,1617.7215717773433,10.784810478515622,66.66666666666666,-0.5415818605964177
Telecommunications,3,1524.7146111907987,10.164764074605324,33.33333333333333,2.2298166164714313
Financials,92,45719.17684243879,9.938951487486694,53.2608695652174,4.253748368136092
Utilities,24,11442.371358833347,9.535309465694455,62.5,4.383675789798055
Information Technology,125,53316.515718342765,8.530642514934843,52.800000000000004,4.835061142356593
Information technology,18,6811.354962998641,7.568172181109602,50.0,2.969913979007602
Real Estate,20,6742.857733703636,6.742857733703636,60.0,5.152975375450273
Financial services,1,302.8208376159673,6.056416752319346,100.0,5.234325876644457
Technology,330,83295.20239725718,5.048194084682253,49.09090909090909,2.7119954035249543
Industrials,147,29153.15023394218,3.9664149978152623,53.06122448979592,2.5947996020715998
Retailing,1,177.04219519043,3.5408439038086,100.0,5.054866674920435
Energy,54,8330.579280868102,3.0853997336548526,38.88888888888889,5.463911308782661
Consumer Discretionary,157,22013.25287045206,2.804236034452492,45.85987261146497,2.1382249447725266
Aerospace and defense,2,266.4519040527366,2.664519040527366,50.0,3.615025169331222
Consumer Staples,44,2092.8690121593763,0.9513040964360802,38.63636363636363,-0.1895974614341286
Communication Services,36,109.43208942702108,0.06079560523723393,25.0,-0.6987515218954563
Health Care,138,-1939.425718998786,-0.2810761911592443,39.130434782608695,0.019108042109919517
Petroleum industry,1,-45.920408905029035,-0.9184081781005807,0.0,-0.8362068006267986
Materials,36,-5526.410321859335,-3.0702279565885195,38.88888888888889,2.9110077885995365
Biopharmaceutical,1,-449.2686584777821,-8.985373169555642,0.0,-8.931393322187816
