date,ticker,action,price,shares,value,commission,slippage_cost,net_proceeds,entry_date,entry_price,cost_basis,pnl,pnl_pct,holding_period_return,r_multiple,days_held,reason,stop_loss,take_profit,highest_price,lowest_price,max_unrealized_gain,max_unrealized_loss,regime,sector,entry_score,atr
2015-01-06,INCY,SELL,69.39594998046807,107,7425.366647910084,7.425366647910084,7.43279944735788,7417.941281262174,2014-12-31,74.1722019602822,7936.425609750195,-518.4843284880208,-6.4394097162865815,-6.4394097162865815,-1.0295023714111196,3,STOP_LOSS,69.46541539586394,89.86149050834302,74.22000122070312,71.48999786376953,0.06444363138433662,-3.6161850742262303,BULL_WEAK,Health Care,40.419288083519234,3.1378577096121654
2015-01-06,SMCI,SELL,3.3036012308522458,2286,7552.032413728234,7.552032413728234,7.559592005734275,7544.480381314506,2014-12-31,3.496658180271711,7993.360600101131,-448.88021878662494,-5.5211844986364556,-5.5211844986364556,-1.0348379864648998,3,STOP_LOSS,3.306908138991237,4.129158317873291,3.496658180271711,3.276000022888184,0.0,-6.31054412548785,BULL_WEAK,Information Technology,37.87886557429323,0.12650002752031592
2015-01-07,DXCM,SELL,13.317369984046286,574,7644.1703708425675,7.644170370842568,7.65182219303583,7636.526200471725,2014-12-31,13.936325701079719,7999.450952419758,-362.9247519480332,-4.441312081171289,-4.441312081171289,-1.0440009410929525,4,STOP_LOSS,13.330700684731017,15.955075755575393,13.936325701079719,13.552499771118164,0.0,-2.7541400667165594,BULL_WEAK,Health Care,29.689264636271375,0.40375001089913504
2015-01-14,FFIV,SELL,125.23475086570822,62,7764.55455367391,7.76455455367391,7.7723268805545445,7756.789999120236,2014-12-31,129.1497541281044,8007.284755942474,-250.49475682223783,-3.031367182095346,-3.031367182095346,-1.0661262424533395,9,STOP_LOSS,125.36011097668491,142.06472954091487,130.47000122070312,125.5999984741211,1.022260631862415,-2.7485578102318997,BULL_WEAK,Information Technology,26.990453600902413,2.526428767613002
2015-01-14,TSLA,SELL,13.112687479973866,566,7421.781113665208,7.421781113665208,7.429210323989629,7414.359332551543,2015-01-07,13.85545588883075,7842.188033078205,-427.82870052666203,-5.3608370220112995,-5.3608370220112995,-1.0359607579557144,5,STOP_LOSS,13.125813293267134,16.287597874042806,14.063332557678224,12.845999717712402,1.5003235585705266,-7.285622207004372,BULL_WEAK,Consumer Discretionary,37.59463355347879,0.48642839704241086
2015-01-22,ZBRA,SELL,84.0493287680823,102,8573.031534344394,8.573031534344395,8.58161314749185,8564.45850281005,2015-01-07,76.31917749694905,7784.556104688803,779.9023981212467,10.128714072478417,10.128714072478417,3.2615917315800114,10,TAKE_PROFIT,73.97489207693998,84.13346223031262,84.95999908447266,76.31917749694905,11.321953237597505,0.0,BULL_WEAK,Information Technology,35.591285643768146,1.562856946672712
2015-01-28,EA,SELL,54.641025632124446,178,9726.102562518152,9.726102562518152,9.73583840091861,9716.376459955634,2014-12-31,44.92032664130228,7995.818142151807,1720.5583178038278,21.639867110593116,21.639867110593116,3.296050355610566,18,TAKE_PROFIT,41.98770822764959,54.69572135347792,53.14665985107422,44.72844696044922,18.31316427296008,-0.42715557788628455,BULL_WEAK,Communication Services,28.783076223367804,1.9550789424351283
2015-02-24,FSLR,SELL,57.451574238044145,172,9881.670768943593,9.881670768943593,9.891562331274542,9871.78909817465,2015-02-03,47.541223508220284,8177.090443413889,1694.6986547607603,20.845804963581305,20.845804963581305,3.294889555125366,14,TAKE_PROFIT,44.55086556427672,57.50908332136551,54.70000076293945,46.33000183105469,15.05804168771836,-2.547729292150347,BULL_WEAK,Information Technology,25.873917946776825,1.9935719626290453
2015-02-26,AXON,SELL,24.29708439840378,307,7459.20491030996,7.45920491030996,7.466671581892008,7451.7457053996495,2014-12-31,26.03140550175699,7991.641489039395,-539.8957836397458,-6.662418221083577,-6.662418221083577,-1.0284318706443631,38,STOP_LOSS,24.321405804207988,31.731404493587,27.88999938964844,22.690000534057617,7.139813821293695,-12.836052849600621,BULL_WEAK,Industrials,34.398873265618654,1.139999798366002
2015-02-26,PANW,SELL,23.97761690671835,378,9063.539190739537,9.063539190739537,9.072611802542092,9054.475651548797,2015-01-07,20.712927821987805,7829.48671671139,1224.9889348374072,15.761601222135834,15.761601222135834,3.284702799420594,34,TAKE_PROFIT,19.72632061101107,24.001618525243593,23.84166717529297,20.34666633605957,15.105249147751355,-1.7682748140483984,BULL_WEAK,Information Technology,38.32043348703425,0.6577381406511577
