Price,Close,High,Low,Open,Volume
Ticker,DOG,DOG,DOG,DOG,DOG
Date,,,,,
2023-11-06,30.08060073852539,30.180961197077686,30.03497981708332,30.08972283458121,575700
2023-11-07,30.044105529785156,30.153588084889805,30.00761018462105,30.10797064362851,588600
2023-11-08,30.089725494384766,30.1900859618085,29.971117352848722,30.00761270107335,720200
2023-11-09,30.281320571899414,30.31781591978648,30.025860097465827,30.025860097465827,813900
2023-11-10,29.952869415283203,30.281317067087894,29.925496167342164,30.153586844654814,755800
2023-11-13,29.91637420654297,30.025856757638298,29.8525090950384,30.007609085724486,464500
2023-11-14,29.496688842773438,29.642666740908687,29.39632838523277,29.58792372396261,953500
2023-11-15,29.34158706665039,29.451069626492046,29.295969623415353,29.432821953120467,803800
2023-11-16,29.378080368041992,29.487562920261286,29.32333735173855,29.423697808101064,745700
2023-11-17,29.39632797241211,29.441945412366078,29.332462860399037,29.350707052070565,553600
2023-11-20,29.222976684570312,29.432819691638375,29.159111572870795,29.432819691638375,498800
2023-11-21,29.29596710205078,29.33246244565296,29.2594717584486,29.2594717584486,312200
2023-11-22,29.15911102294922,29.25034938107609,29.12261741989222,29.232101709450717,606900
2023-11-24,29.067882537841797,29.13174766238213,29.067882537841797,29.12262382456292,127000
2023-11-27,29.12261962890625,29.16823707123612,29.067878350071627,29.095248119392,425900
2023-11-28,29.05875587463379,29.14999250376079,28.985766919370977,29.113497156032405,440800
2023-11-29,29.022258758544922,29.0587541040496,28.912776202418588,29.004012825986436,483200
2023-11-30,28.620820999145508,28.903652971960476,28.602573326010635,28.885405298825603,781000
2023-12-01,28.392730712890625,28.629943506271697,28.36535920279562,28.620821409767277,860300
2023-12-04,28.429222106933594,28.54783023458715,28.392728503174347,28.54783023458715,624400
2023-12-05,28.483966827392578,28.575203458115112,28.465720893403265,28.483966827392578,511600
2023-12-06,28.556957244873047,28.575204919989883,28.365361876728517,28.420103161884942,906000
2023-12-07,28.511337280273438,28.58432623410318,28.474841933261605,28.511337280273438,635100
2023-12-08,28.429222106933594,28.566076166369882,28.38360466718609,28.529582562610635,593300
2023-12-11,28.319740295410156,28.43834668596892,28.30149262295686,28.42922284974227,800400
2023-12-12,28.182886123657227,28.33798786810112,28.164640190341537,28.264998914256577,304400
2023-12-13,27.799694061279297,28.219381856773015,27.79057022439966,28.182886509254455,1094800
2023-12-14,27.690210342407227,27.836188245995636,27.662838832911696,27.72670394820739,1091900
2023-12-15,27.68108558654785,27.77232220830887,27.62634430956877,27.754074535917905,879800
2023-12-18,27.671960830688477,27.681084666580734,27.608095719636434,27.635467227313207,597100
2023-12-19,27.498613357543945,27.66283893473386,27.48948952101185,27.66283893473386,381800
2023-12-20,27.839908599853516,27.849157950502008,27.432945991986177,27.562433372798544,933000
2023-12-21,27.62717628479004,27.83065668793064,27.608677585195505,27.691919969237816,1098500
2023-12-22,27.645675659179688,27.738167401178977,27.534686980087137,27.65492500979294,1263800
2023-12-26,27.543935775756836,27.664173803040136,27.488439673195426,27.664173803040136,315300
2023-12-27,27.460695266723633,27.59018265330192,27.442196564602927,27.571683951181214,1086400
2023-12-28,27.432945251464844,27.488439589724532,27.4051972002684,27.488439589724532,675800
2023-12-29,27.46994400024414,27.580932682206633,27.423697245982027,27.46069464939172,1164000
2024-01-02,27.460695266723633,27.627180057543335,27.414448511421867,27.61793070648298,1130300
2024-01-03,27.673423767089844,27.701171818985824,27.543936386508424,27.571682674271155,863000
2024-01-04,27.68267059326172,27.68267059326172,27.479188426180453,27.64567319410764,744900
2024-01-05,27.673423767089844,27.77516485990853,27.562433323639162,27.701171818985824,875400
2024-01-08,27.51618766784668,27.839907875589166,27.51618766784668,27.784413537275178,812300
2024-01-09,27.654926300048828,27.74741804636337,27.617930660003008,27.6734250021384,477500
2024-01-10,27.525436401367188,27.645674425708314,27.48843900056489,27.63642507550774,885000
2024-01-11,27.543935775756836,27.74741619274904,27.460693386047932,27.488439673195426,777100
2024-01-12,27.645675659179688,27.728918050565724,27.469943289927606,27.52543762947388,1358900
2024-01-16,27.812162399291992,27.932402201593177,27.682675009859985,27.7196706507834,1566500
2024-01-17,27.895401000976562,27.98789273690036,27.82140796506415,27.960144686883282,1170500
2024-01-18,27.756664276123047,28.015640783854746,27.71966687610432,27.93239839794574,2399400
